concept,keep,part_group,exact_parts,rationale
a brownish-olive upper body,False,,,Upper body is a vague multi-part region.
"a clear, melodious song",False,,,"Behavioral or acoustic trait, not a localizable part."
a white patch on its wing,True,wing,left wing|right wing,Primarily localized to the wing.
a black-and-white striped head,False,,,Head does not map cleanly to one supported part.
a white head and neck,False,,,"Covers unsupported or multiple regions, not one supported part."
a black wingtips,False,,,Wingtips are too specific relative to the whole wing annotation.
a pointy crest on the head,False,,,Crest/head does not map cleanly to one supported part.
"long, pointed wings",True,wing,left wing|right wing,Directly describes the wings.
"a large, hooked bill",True,beak,beak,Bill maps cleanly to beak.
white underwings,False,,,Underwings is too specific and not the whole wing part.
a yellowish breast,True,breast,breast,Describes the breast directly.
a brown and white color scheme,False,,,"Global coloration, not a single supported part."
"long, black ear tufts",False,,,Ear tufts are not a supported CUB part.
"a short, stubby beak",True,beak,beak,Describes the beak directly.
all black body,False,,,Body is too broad and unsupported as one part.
"a long, graceful neck",False,,,Neck is not a supported coarse part.
a rusty brown color,False,,,"General color trait, not localized to one part."
a small songbird,False,,,"Whole-bird type/size, not a part."
white streaks on the wings,True,wing,left wing|right wing,Pattern localized to the wings.
shaggy feathers,False,,,Feather texture is not tied to one supported part.
a black line through each eye,True,eye,left eye|right eye,Primarily centered on the eye region.
a short tail,True,tail,tail,Describes the tail directly.
white breast with brown spots,True,breast,breast,Describes the breast directly.
a white body with black wings,False,,,"Refers to multiple regions, not one supported part."
a light gray or white chest,False,,,Chest does not map cleanly to one supported part.
a white stripe over each eye,False,,,Over-eye stripe is not the eye part itself.
a brownish-red breast,True,breast,breast,Describes the breast directly.
"a large, stocky bird",False,,,"Whole-bird size/build, not a part."
a black band across the chest,False,,,Chest does not map cleanly to one supported part.
a black neck and head,False,,,Combines multiple unsupported/supported regions.
"long, blue-gray wings",True,wing,left wing|right wing,Describes the wings directly.
yellowish sides,False,,,Sides is a vague body region.
a black mask across the face,False,,,Face is a vague multi-part region.
a black ring around the eyes,True,eye,left eye|right eye,Primarily describes the eye region.
grey or brown plumage,False,,,"Overall plumage color, not one part."
a black head and neck,False,,,Combines multiple regions and neck is unsupported.
"a small, drab-colored bird",False,,,"Whole-bird description, not a part."
a rusty-red throat and breast,False,,,Refers to two supported parts at once.
black wings with white spots,True,wing,left wing|right wing,Describes the wings directly.
grey or black wings,True,wing,left wing|right wing,Describes the wings directly.
gray head,False,,,Head is broader than any one supported part.
large size,False,,,"Overall size, not a part."
"a short, thick beak",True,beak,beak,Describes the beak directly.
a reddish-brown back,True,back,back,Describes the back directly.
a yellow throat,True,throat,throat,Describes the throat directly.
"a long, flowing tail",True,tail,tail,Describes the tail directly.
"a small, black bird",False,,,"Whole-bird description, not a part."
a light-colored underside,False,,,Underside is a vague multi-part region.
a large bird,False,,,"Whole-bird size, not a part."
gray body with black spots,False,,,Body is too broad and unsupported as one part.
"a small, round body",False,,,Body shape is not a supported part.
a black hood,False,,,"Hood covers multiple head regions, not one part."
blue-grey wings and back,False,,,Refers to two supported parts at once.
black markings on the wings,True,wing,left wing|right wing,Describes the wings directly.
"long, black wings",True,wing,left wing|right wing,Describes the wings directly.
large body,False,,,Body is too broad and unsupported as one part.
olive-gray upperparts,False,,,Upperparts is a vague multi-part region.
a pinkish breast,True,breast,breast,Describes the breast directly.
a yellow belly,True,belly,belly,"Directly describes the belly, which is a supported part."
Shiny black plumage,False,,,"Describes overall plumage, not one supported part."
a loud caw,False,,,"Behavior/vocalization, not a localizable body part."
a violet patch near each ear,False,,,Ear region is not a supported part group.
a white or light-colored belly,True,belly,belly,Directly refers to the belly.
blue eyes,True,eye,left eye|right eye,"Directly refers to the eyes, mapped to eye."
white underparts with streaks,False,,,Underparts is a vague multi-part region.
a streaked breast,True,breast,breast,Directly describes the breast.
dark wingtips,False,,,Too specific relative to the whole wing annotation.
all-white plumage,False,,,"Describes overall plumage, not one supported part."
blue upperparts,False,,,Upperparts is a vague multi-part region.
a yellow cap on the head,True,crown,crown,Cap on the head aligns best with crown.
a black bib with white border,True,throat,throat,Bib is best aligned with the throat area.
brownish-grey upperparts,False,,,Upperparts is a vague multi-part region.
white tail,True,tail,tail,Directly refers to the tail.
forked tail,True,tail,tail,Tail is a supported part even though shape is mentioned.
a brown streak down its back,True,back,back,Directly refers to the back.
blue wings,True,wing,left wing|right wing,"Directly refers to the wings, mapped to wing."
a black stripe through the eye,True,eye,left eye|right eye,Primarily localized to the eye region.
"a short, hooked beak",True,beak,beak,Beak is a supported part.
orange eyes,True,eye,left eye|right eye,"Directly refers to the eyes, mapped to eye."
iridescent green plumage,False,,,"Describes overall plumage, not one supported part."
"a loud, high-pitched song",False,,,"Behavior/vocalization, not a body part."
"long, dark wings",True,wing,left wing|right wing,Directly refers to the wings.
"a large, white body",False,,,Body is a vague whole-bird region.
a black stripe on the head,False,,,Head is too broad and does not map cleanly to one part.
a light brown or grayish color,False,,,Global color trait with no specific supported part.
large webbed feet,False,,,Feet are not a supported part group.
a grayish-brown crown,True,crown,crown,Directly refers to the crown.
Glossy black wings,True,wing,left wing|right wing,Directly refers to the wings.
a white collar around the neck,False,,,Neck/collar does not map cleanly to one supported part.
a brown back and wings,False,,,Describes multiple supported parts at once.
a pale orange or brown breast,True,breast,breast,Directly refers to the breast.
a red breast,True,breast,breast,Directly refers to the breast.
"black cap and white ""eyeline""",False,,,Describes multiple parts at once: crown and eye region.
a white face,False,,,Face is a vague unsupported region.
blue wings with black bars,True,wing,left wing|right wing,Primarily describes the wings.
yellowish eyes,True,eye,left eye|right eye,"Directly refers to the eyes, mapped to eye."
"long, powerful wings",True,wing,left wing|right wing,Directly refers to the wings.
a brownish cap,True,crown,crown,Cap aligns best with crown.
dark brown stripes on the back,True,back,back,Directly refers to the back.
a long beak,True,beak,beak,Beak is a supported part.
"a short, stubby bill",True,beak,beak,Bill maps directly to beak.
brown streaks on the chest,True,breast,breast,Chest aligns best with breast.
olive-green upperparts,False,,,Upperparts is a vague multi-part region.
"a large, white bird",False,,,"Whole bird description, not one supported part."
"a short, pointed tail",True,tail,tail,Directly refers to the tail.
a ruby-red throat,True,throat,throat,Directly refers to the throat.
"a short, stubby tail",True,tail,tail,Directly refers to the tail.
Yellow eyes,True,eye,left eye|right eye,"Directly refers to the eyes, mapped to eye."
black wings with white bars,True,wing,left wing|right wing,"Primarily describes the wings, a supported part group."
a round body,False,,,"Describes overall body shape, not a supported localized part."
a brown or reddish cap,True,crown,crown,Cap maps cleanly to the crown.
a yellow bill with a red spot,True,beak,beak,"Bill maps to beak, and the description stays on that part."
"a large, bulky body",False,,,"Describes overall body size/build, not a supported part."
"a small, blue body",False,,,Body is too broad and unsupported as a coarse part.
a bright yellow body,False,,,"Body is a vague whole-bird region, not a supported part."
a high refractive index,False,,,Not a bird part or localizable visual part annotation.
yellow tips on the wings,False,,,Wingtips are more specific than the supported whole wing annotation.
orange legs and feet,False,,,"Mixes leg with unsupported feet, so it does not map cleanly."
pointed wings,True,wing,left wing|right wing,Primarily describes the wings.
a white breast and belly,False,,,Refers to two supported parts at once.
"a long, curved beak",True,beak,beak,Cleanly describes the beak.
"a long, thin body",False,,,Body is unsupported and too broad.
"a small, brown body",False,,,Body is unsupported and not a single annotated part.
"a long, black tail",True,tail,tail,Cleanly describes the tail.
a black cap on its head,True,crown,crown,Cap maps to the crown.
a yellow head and breast,False,,,"Combines head region with breast, not a single supported part."
a rosy breast,True,breast,breast,Cleanly describes the breast.
brown back and wings,False,,,Refers to two supported parts at once.
"a large, bulbous beak",True,beak,beak,Cleanly describes the beak.
a black and white head,False,,,Head is too broad and not a supported coarse part.
a white stripe on the wings,True,wing,left wing|right wing,Primarily describes the wings.
a white chin and throat,True,throat,throat,Chin aligns most closely with the throat region.
a white line above the eye,False,,,Above-eye stripe is not the eye itself and lacks a supported matching part.
a clear or translucent color,False,,,Not tied to any localized supported part.
a black body,False,,,"Body is a vague whole-bird region, not a supported part."
"a long, orange beak",True,beak,beak,Cleanly describes the beak.
"a short, blunt beak",True,beak,beak,Cleanly describes the beak.
"a long, narrow bill",True,beak,beak,Bill maps cleanly to beak.
blue and white plumage,False,,,"Plumage is a whole-bird trait, not one supported part."
a black and white striped back,True,back,back,Cleanly describes the back.
a white eye ring,True,eye,left eye|right eye,An eye ring is localized around the eye and aligns to eye.
gray and white plumage,False,,,"Plumage is global, not a single supported part."
long legs,True,leg,left leg|right leg,Cleanly describes the legs.
a dark brown or black color,False,,,Color alone is not tied to any supported part.
red-brown color,False,,,Color alone is not tied to any supported part.
all black plumage,False,,,"Whole-bird plumage pattern, not one supported part."
"a short, notched tail",True,tail,tail,Cleanly describes the tail.
white bars on the wings,True,wing,left wing|right wing,Primarily describes the wings.
grey and white mottled plumage,False,,,"Plumage is a global trait, not one supported part."
"a loud, musical song",False,,,"Behavioral/acoustic trait, not a localizable part."
"a small, pointed bill",True,beak,beak,Bill maps cleanly to beak.
a blue-gray body,False,,,Body is unsupported and too broad.
a long neck,False,,,Neck is not among the supported part groups.
"a black ""mask"" around the eyes",False,,,"Mask around the eyes spans a broader face region, not cleanly the eye part."
a gray back with black streaks,True,back,back,Cleanly describes the back.
a long tail with a white tip,True,tail,tail,Primarily describes the tail.
yellow bar on wing,True,wing,left wing|right wing,Primarily describes the wing.
a blue head,False,,,Head is too broad and not a supported coarse part.
a black mask on the face,False,,,"Face mask spans multiple unsupported facial regions, not one annotated part."
red shoulders,False,,,Shoulders are not a supported CUB part group.
A conical bill,True,beak,beak,Bill maps cleanly to the beak part.
"a swift, direct flight",False,,,"Behavioral trait, not a localizable body part."
a greenish-yellow body,False,,,Body is too broad and not one supported part.
"a long, stout beak",True,beak,beak,Directly describes the beak.
a black ring around the neck,False,,,"Neck ring spans around the neck, not one supported part."
red and yellow wingtips,False,,,Wingtips are too specific relative to the whole wing annotation.
grayish-brown plumage,False,,,"Plumage is a whole-bird trait, not one part."
a white throat and breast,False,,,Refers to two supported parts at once.
a red face,False,,,"Face is a vague multi-part region, not one supported part."
a black eye stripe,False,,,Stripe near the eye is not the eye part itself.
blue plumage,False,,,"Global plumage color, not a single supported part."
a rusty-red breast,True,breast,breast,Directly describes the breast.
a black tail with a white tip,True,tail,tail,Primarily describes the tail.
a black streak on the breast,True,breast,breast,Localized on the breast.
"a large, gray body",False,,,"Body is too broad and includes size, not one part."
a black stripe above the eye,False,,,"Above-eye stripe is adjacent to the eye, not the eye itself."
olive upperparts,False,,,Upperparts is a vague multi-part region.
a yellow beak,True,beak,beak,Directly describes the beak.
white patches on the wings,True,wing,left wing|right wing,Localized on the wings.
yellow legs and feet,False,,,Combines legs with unsupported feet.
white spots on its wings,True,wing,left wing|right wing,Localized on the wings.
white wing bars,True,wing,left wing|right wing,Wing bars are markings on the wing.
beak is curved and pointed,True,beak,beak,Directly describes beak shape.
"a loud, harsh cry",False,,,"Vocal behavior, not a body part."
"a large, hawk-like body",False,,,"Overall body form, not one supported part."
brown wings with white bars,True,wing,left wing|right wing,Primarily describes the wings.
a black line through the eye,False,,,"Eye line is a surrounding marking, not the eye part itself."
yellow or orange plumage,False,,,"Global plumage trait, not one supported part."
a small to medium sized bird,False,,,"Overall size, not a localizable part."
"a long, orange-red beak",True,beak,beak,Directly describes the beak.
streaked upperparts,False,,,Upperparts is a vague multi-part region.
gray wings,True,wing,left wing|right wing,Directly describes the wings.
"a small, brown bill",True,beak,beak,Bill maps cleanly to the beak part.
a black head with a white beak,False,,,"Mentions head plus beak, so not one supported part."
"short, black legs",True,leg,left leg|right leg,Directly describes the legs.
grayish wings and tail,False,,,Refers to two supported parts at once.
black eyes,True,eye,left eye|right eye,Directly describes the eyes.
"a long, thin beak",True,beak,beak,Directly describes the beak.
"a small, delicate body",False,,,Body/overall build is not one supported part.
green wings,True,wing,left wing|right wing,Directly describes the wings.
yellow underparts,False,,,Underparts is a vague multi-part region.
size,False,,,"Abstract overall size trait, not a part."
a brown body,False,,,Body is too broad and not one supported part.
a black throat,True,throat,throat,Directly describes the throat.
a rusty cap,True,crown,crown,Cap maps best to the crown.
long tail feathers,True,tail,tail,Tail feathers map to the tail part.
a plump body,False,,,"Overall body shape, not one supported part."
"a small, thin body",False,,,"Overall body build, not one supported part."
a blue-gray back,True,back,back,"Directly describes the back, which is a supported part."
a greenish-yellow back,True,back,back,"Directly describes the back, which is a supported part."
brown wings with white stripes,True,wing,left wing|right wing,"Primarily describes the wings, which map to the coarse wing group."
"a long, sharp beak",True,beak,beak,"Directly describes the beak, which is supported."
"a dark, glossy bill",True,beak,beak,Bill maps cleanly to beak.
a black or dark gray body,False,,,"Body is a whole-bird/vague region, not a supported single part."
a black back and wings,False,,,Describes multiple supported parts at once.
yellow feet,False,,,Feet are not a supported part group.
gray or brown plumage,False,,,"Plumage is a global trait, not one supported part."
"a long, black beak",True,beak,beak,"Directly describes the beak, which is supported."
a yellow throat and chin,True,throat,throat,Primarily refers to the throat region; chin is not separate in the coarse set.
a short beak,True,beak,beak,"Directly describes the beak, which is supported."
"a small, compact body",False,,,Body/overall size does not align to one supported part.
a black V on the back,True,back,back,"The marked region is the back, which is supported."
olive-green back,True,back,back,"Directly describes the back, which is a supported part."
"a long, tapered tail",True,tail,tail,"Directly describes the tail, which is supported."
a streaked brown back,True,back,back,"Directly describes the back, which is a supported part."
"a loud, melodious song",False,,,Behavior/vocalization is not a spatial part attribute.
"short, brown legs",True,leg,left leg|right leg,"Directly describes the legs, which map to the coarse leg group."
a blue body,False,,,"Body is a vague whole-bird region, not a supported single part."
white stripes on the face,False,,,Face is a vague region and does not map cleanly to one supported part.
a grey or brown body,False,,,"Body is a whole-bird/vague region, not a supported single part."
a gray chest,True,breast,breast,Chest aligns cleanly with the breast part.
